run_id,molecule,backend,seed,qubits,parameters,iterations,wall_seconds,energy_hartree,reference_method,reference_hartree,error_mhartree,chemical_accuracy_reached
20260503T223931Z-fb8c00,h2,cpu,42,4,3,75,17.433,-1.13727,FCI,-1.13727,-0.0002,True
20260503T223950Z-62387c,h2,cpu,43,4,3,67,15.234,-1.13727,FCI,-1.13727,-0.0002,True
20260503T224005Z-543e0d,h2,cpu,44,4,3,79,17.951,-1.13727,FCI,-1.13727,-0.0002,True
20260503T224024Z-49dadd,h2,gpu_fp32,42,4,3,60,13.411,-1.137265,FCI,-1.13727,0.0046,True
20260503T224037Z-e6a9ca,h2,gpu_fp32,43,4,3,55,12.199,-1.137268,FCI,-1.13727,0.0018,True
20260503T224049Z-f8a9c3,h2,gpu_fp32,44,4,3,60,13.319,-1.137268,FCI,-1.13727,0.0021,True
20260503T224103Z-3720a5,h2,gpu_fp64,42,4,3,85,18.788,-1.13727,FCI,-1.13727,-0.0002,True
20260503T224122Z-dcb111,h2,gpu_fp64,43,4,3,70,15.502,-1.13727,FCI,-1.13727,-0.0002,True
20260503T224137Z-8d68ea,h2,gpu_fp64,44,4,3,84,18.669,-1.13727,FCI,-1.13727,-0.0002,True
20260503T224156Z-40afc5,lih,cpu,42,12,92,1500,1795.294,-7.87524,"CASCI(2e,5o)",-7.882164,6.9244,False
20260503T231151Z-fa1efa,lih,cpu,43,12,92,1500,1818.29,-7.876328,"CASCI(2e,5o)",-7.882164,5.8357,False
20260503T234210Z-ced963,lih,cpu,44,12,92,1500,1813.773,-7.756153,"CASCI(2e,5o)",-7.882164,126.0112,False
20260504T001224Z-a16683,lih,gpu_fp64,42,12,92,1500,1078.699,-7.87524,"CASCI(2e,5o)",-7.882164,6.9244,False
20260504T003023Z-0a0a17,lih,gpu_fp64,43,12,92,1500,1093.014,-7.876328,"CASCI(2e,5o)",-7.882164,5.8357,False
20260504T004837Z-3b4c34,lih,gpu_fp64,44,12,92,1500,1087.976,-7.756153,"CASCI(2e,5o)",-7.882164,126.0112,False
